name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Skybags Brat Black 46 Cms Casual Backpack,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/810s53kR8tL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?qid=1679218544&s=luggage&sr=1-1,4.1,"3,753",₹659,"₹2,100"
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61kmCas5OCL._AC_UL320_.jpg,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_2?qid=1679218544&s=luggage&sr=1-2,4.0,"17,985",₹299,₹799
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/811AxL+qTpL._AC_UL320_.jpg,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?qid=1679218544&s=luggage&sr=1-3,4.3,"9,763",₹565,"₹1,199"
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81BCsKS7WuL._AC_UL320_.jpg,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_4?qid=1679218544&s=luggage&sr=1-4,4.3,"5,147","₹1,131","₹2,899"
"Genie Iridescence School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy Coll...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71HWNZIjMvL._AC_UL320_.jpg,https://www.amazon.in/Genie-Iridescence-Multicolor-Backpack-Resistant/dp/B084VQLJL8/ref=sr_1_5?qid=1679218544&s=luggage&sr=1-5,4.0,"2,679",₹899,"₹2,339"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for ...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61egMfcDWlL._AC_UL320_.jpg,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?qid=1679218544&s=luggage&sr=1-6,3.9,"3,097",₹689,"₹2,000"
"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71hNHEiIfYL._AC_UL320_.jpg,https://www.amazon.in/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_7?qid=1679218544&s=luggage&sr=1-7,3.9,894,₹999,"₹2,299"
Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop ...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81oUvlsYcnL._AC_UL320_.jpg,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?qid=1679218544&s=luggage&sr=1-8,3.9,"15,232",₹689,"₹1,799"
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81KHT04JtvL._AC_UL320_.jpg,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?qid=1679218544&s=luggage&sr=1-9,3.7,"6,051",₹189,₹498
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81yWRCC7YcL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_10?qid=1679218544&s=luggage&sr=1-10,4.0,7,"₹1,299","₹2,500"
